Word, Theme:
Baleia, Animal
Pantera, Animal
Elefante, Animal
Leão, Animal
Tigre, Animal
Girafa, Animal
Urso, Animal
Golfinho, Animal
Lobo, Animal
Pinguim, Animal
Guepardo, Animal
Canguru, Animal
Gorila, Animal
Zebra, Animal
Chimpanzé, Animal
Orangotango, Animal
Urso Polar, Animal
Foca, Animal
Tubarão, Animal
Jacaré, Animal
Macaco, Animal
Gato, Animal
Cachorro, Animal
Cavalo, Animal
Cobra, Animal
Coruja, Animal
Raposa, Animal
Sapo, Animal
Tartaruga, Animal
Suricato, Animal
Esquilo, Animal
Camaleão, Animal

Mesa, Objeto
Sofá, Objeto
Vaso, Objeto
Espelho, Objeto
Tapete, Objeto
Almofada, Objeto
Cobertor, Objeto
Televisão, Objeto
Geladeira, Objeto
Fogão, Objeto
Micro-ondas, Objeto
Liquidificador, Objeto
Batedeira, Objeto
Rádio, Objeto
Relógio, Objeto
Câmera, Objeto
Óculos, Objeto
Binóculo, Objeto
Telescópio, Objeto
Luva, Objeto
Lixo, Objeto
Guarda-chuva, Objeto
Carteira, Objeto
Chave, Objeto
Cadeira, Objeto
Computador, Objeto
Laptop, Objeto
Mouse, Objeto
Teclado, Objeto
Bolsa, Objeto
Janela, Objeto
Garrafa, Objeto
Caneca, Objeto
Copo, Objeto
Lápis, Objeto
Caneta, Objeto
Tesoura, Objeto
Papel, Objeto
Sapatos, Objeto
Anel, Objeto
Brinco, Objeto
Fone, Objeto
Moeda, Objeto
Remédio, Objeto


Nilo, Professor
Marcos, Professor
